time_stamp,number_of_dead_nodes,number_of_monitored_target,lowest_node_energy,lowest_node_location,avg_energy,MC_0_status,MC_1_status,MC_2_status,MC_0_location,MC_1_location,MC_2_location
9401,0,60,8.79,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
9501,0,60,8.729,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
9601,0,60,8.668,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
9701,0,60,8.607,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
9801,0,60,8.547,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
9901,0,60,8.486,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
10001,0,60,8.425,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
10101,0,60,8.364,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
10201,0,60,8.304,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
10301,0,60,8.243,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
10401,0,60,8.182,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
10501,0,60,8.121,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
10601,0,60,8.061,"(121.46915918749512, 332.7561498411757)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
10701,0,60,7.988,"(501.8646164570166, 545.6538516111768)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
10801,0,60,7.752,"(501.8646164570166, 545.6538516111768)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
10901,0,60,7.517,"(501.8646164570166, 545.6538516111768)",0.0006143010408201037,deactivated,deactivated,deactivated,"(0.0, 0.0)","(289.23891708196237, 562.9394361463832)","(628.381560156151, 783.488400734307)"
